;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_13:58:25:775178;1742907505.7741954;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.6651995;0.10899591445922852;0.0;0.0;0.0;-0.0;360.40923340100215;921.611964035739;-20.0;-23.599999999999966;30.934770081576467;-2.273812559600655;0.0;-118.98618268156429;-34.53099348237577;-20.0;-23.749999999999964
2025-03-25_13:58:25:885045;1742907505.884046;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.7741954;0.10985064506530762;0.0;0.0;0.0;-0.0;366.09367066468434;923.3230403437909;-20.0;-23.749999999999964;31.049355870935525;-2.270689196514141;0.0;-119.8715449654031;-34.48429764277969;-20.0;-23.899999999999963
2025-03-25_13:58:25:993458;1742907505.9924943;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.884046;0.10844826698303223;0.0;0.0;0.0;-0.0;371.7089179910843;925.0296296614696;-20.0;-23.899999999999963;31.16424232995242;-2.267588831819417;0.0;-120.75821200027698;-34.43685166923075;-20.0;-24.04999999999996
2025-03-25_13:58:26:102318;1742907506.1013212;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.9924943;0.10882687568664551;0.0;0.0;0.0;-0.0;377.2309317848739;926.7427579179388;-20.0;-24.04999999999996;31.279426145631223;-2.2645112713799236;0.0;-121.64617390390553;-34.39061672478372;-20.0;-24.19999999999996
2025-03-25_13:58:26:209764;1742907506.2087653;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.1013212;0.10744404792785645;0.0;0.0;0.0;-0.0;382.6872083844011;928.4526759223165;-20.0;-24.19999999999996;31.394904045083464;-2.261456322176474;0.0;-122.53542083544112;-34.34386540860338;-20.0;-24.34999999999996
2025-03-25_13:58:26:318104;1742907506.317108;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.2087653;0.10834264755249023;0.0;0.0;0.0;-0.0;388.05407381211313;930.1703916724704;-20.0;-24.34999999999996;31.510672795102266;-2.2584237923274366;0.0;-123.42594299682408;-34.298564152640076;-20.0;-24.499999999999957
2025-03-25_13:58:26:426489;1742907506.4258687;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.317108;0.10876083374023438;0.0;0.0;0.0;-0.0;393.35308281565085;931.8882657196637;-20.0;-24.499999999999957;31.626729201736907;-2.255413491107678;0.0;-124.31773063407147;-34.253357797149086;-20.0;-24.649999999999956
2025-03-25_13:58:26:535973;1742907506.5349724;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.4258687;0.10910367965698242;0.0;0.0;0.0;-0.0;398.58431081774216;933.6073776251611;-20.0;-24.649999999999956;31.74307010986804;-2.252425228966299;0.0;-125.21077403850241;-34.20844382673995;-20.0;-24.799999999999955
2025-03-25_13:58:26:645635;1742907506.6441362;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.5349724;0.10916376113891602;0.0;0.0;0.0;-0.0;403.7456657202038;935.3297184184049;-20.0;-24.799999999999955;31.859692402783768;-2.24945881754321;0.0;-126.10506354790205;-34.16418480004837;-20.0;-24.949999999999953
2025-03-25_13:58:26:755530;1742907506.7548218;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.6441362;0.11068558692932129;0.0;0.0;0.0;-0.0;408.8529751975852;937.0494769031734;-20.0;-24.949999999999953;31.976593001756733;-2.246514069684583;0.0;-127.00058954762534;-34.119542315388955;-20.0;-25.09999999999995
2025-03-25_13:58:26:862646;1742907506.8626463;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.7548218;0.10782456398010254;0.0;0.0;0.0;-0.0;413.9072791530709;938.7670489344318;-20.0;-25.09999999999995;32.09376886562246;-2.243590799457214;0.0;-127.89734247164259;-34.07458893607035;-20.0;-25.24999999999995
2025-03-25_13:58:26:973329;1742907506.9723153;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.8626463;0.10966897010803223;0.0;0.0;0.0;-0.0;418.8814214489612;940.4953548073769;-20.0;-25.24999999999995;32.211216990359084;-2.240688822161842;0.0;-128.79531280352938;-34.03165907263041;-20.0;-25.39999999999995
2025-03-25_13:58:27:082406;1742907507.0814028;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907506.9723153;0.10908746719360352;0.0;0.0;0.0;-0.0;423.8127669695198;942.2187577131208;-20.0;-25.39999999999995;32.328934408668616;-2.237807954345454;0.0;-129.69449107740118;-33.98793863954239;-20.0;-25.549999999999947
2025-03-25_13:58:27:190893;1742907507.190894;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907507.0814028;0.10949110984802246;0.0;0.0;0.0;-0.0;428.68393945991534;943.945805657763;-20.0;-25.549999999999947;32.446918189559966;-2.2349480138126117;0.0;-130.59486787879592;-33.94497553385181;-20.0;-25.699999999999946
2025-03-25_13:58:27:300588;1742907507.2995896;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907507.190894;0.10869574546813965;0.0;0.0;0.0;-0.0;433.5086847651337;945.6710666198015;-20.0;-25.699999999999946;32.565165437933786;-2.2321088196358407;0.0;-131.49643384550467;-33.90179089760843;-20.0;-25.849999999999945
2025-03-25_13:58:27:409325;1742907507.4093254;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907507.2995896;0.10973572731018066;0.0;0.0;0.0;-0.0;438.27252054553645;947.401918970526;-20.0;-25.849999999999945;32.683673294169324;-2.22929019216511;0.0;-132.3991796683529;-33.859728615758236;-20.0;-25.999999999999943
