;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_14:06:39:027357;1742907999.0263581;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.9173799;0.108978271484375;0.0;0.0;0.0;-0.0;348.7504927652043;918.202534062066;-20.0;-23.29999999999997;30.70651396690934;-2.280129062951982;0.0;-117.21941209467894;-34.62675223639802;-20.0;-23.449999999999967
2025-03-25_14:06:39:136840;1742907999.1368403;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.0263581;0.11048221588134766;0.0;0.0;0.0;-0.0;354.6265604318495;919.9063351750927;-20.0;-23.449999999999967;30.820488315404713;-2.2769591163114167;0.0;-118.10213507105243;-34.57869413101287;-20.0;-23.599999999999966
2025-03-25_14:06:39:247912;1742907999.2469122;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.1368403;0.11007189750671387;0.0;0.0;0.0;-0.0;360.3947272994988;921.6176367177607;-20.0;-23.599999999999966;30.934770081576467;-2.273812559600655;0.0;-118.98618268156429;-34.53199715473501;-20.0;-23.749999999999964
2025-03-25_14:06:39:355953;1742907999.3549562;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.2469122;0.10804390907287598;0.0;0.0;0.0;-0.0;366.1134012855464;923.3152169923188;-20.0;-23.749999999999964;31.049355870935525;-2.270689196514141;0.0;-119.8715449654031;-34.48291089091613;-20.0;-23.899999999999963
2025-03-25_14:06:39:464304;1742907999.4633064;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.3549562;0.10835027694702148;0.0;0.0;0.0;-0.0;371.70959189432443;925.0293588635408;-20.0;-23.899999999999963;31.16424232995242;-2.267588831819417;0.0;-120.75821200027698;-34.43680357920582;-20.0;-24.04999999999996
2025-03-25_14:06:39:572407;1742907999.5724075;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.4633064;0.1091010570526123;0.0;0.0;0.0;-0.0;377.22910649425336;926.743500900966;-20.0;-24.04999999999996;31.279426145631223;-2.2645112713799236;0.0;-121.64617390390553;-34.39074891288091;-20.0;-24.19999999999996
2025-03-25_14:06:39:679951;1742907999.6799517;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.5724075;0.1075441837310791;0.0;0.0;0.0;-0.0;382.68653813044654;928.4529521855648;-20.0;-24.19999999999996;31.394904045083464;-2.261456322176474;0.0;-122.53542083544112;-34.34391465075645;-20.0;-24.34999999999996
2025-03-25_14:06:39:791681;1742907999.7906795;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.6799517;0.11072778701782227;0.0;0.0;0.0;-0.0;388.03902030001626;930.1766716441008;-20.0;-24.34999999999996;31.510672795102266;-2.2584237923274366;0.0;-123.42594299682408;-34.29968559186509;-20.0;-24.499999999999957
2025-03-25_14:06:39:900020;1742907999.8991892;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.7906795;0.10850977897644043;0.0;0.0;0.0;-0.0;393.3546601089058;931.8875999374527;-20.0;-24.499999999999957;31.626729201736907;-2.255413491107678;0.0;-124.31773063407147;-34.25323868667359;-20.0;-24.649999999999956
2025-03-25_14:06:40:008093;1742908000.007087;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907999.8991892;0.10789775848388672;0.0;0.0;0.0;-0.0;398.5917516309104;933.6042008892138;-20.0;-24.649999999999956;31.74307010986804;-2.252425228966299;0.0;-125.21077403850241;-34.20787445129089;-20.0;-24.799999999999955
