"filename", "language", "Dotenv", "Python", "CSV", "Properties", "YAML", "PowerShell", "C++", "Batch", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\drl_sim_logs\sim_log_DRL.csv", "CSV", 0, 0, 2669, 0, 0, 0, 0, 0, 0, 1, 2670
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\nmpc_sim_logs\sim_log_nmpc.csv", "CSV", 0, 0, 13335, 0, 0, 0, 0, 0, 0, 1, 13336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_logs\sim_log_PID.csv", "CSV", 0, 0, 13335, 0, 0, 0, 0, 0, 0, 1, 13336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\test.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 3, 4, 11
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\main.py", "Python", 0, 261, 0, 0, 0, 0, 0, 0, 40, 82, 383
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\monte_carlo_results.csv", "CSV", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_blit_info.h", "C++", 0, 0, 0, 0, 0, 0, 19, 0, 1, 2, 22
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_camera.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 18, 4, 27
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_pygame.h", "C++", 0, 0, 0, 0, 0, 0, 244, 0, 88, 43, 375
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\_surface.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 22, 4, 31
