simTime,usv_north_m,usv_east_m,target_north_m,target_east_m,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
2.04,0.630191308268396,0.0464850461939903,20.0,10.0,21.77755607706983,5.0,22.344170351344914,True,1.6006030528395267e-08,3.2012061056790534e-07,-34.94686363444894
2.06,0.6454145388564783,0.0490801914951971,20.0,10.0,21.762830317033707,5.0,22.329818257388514,True,1.6037565064372566e-08,3.2075130128745134e-07,-34.93831573017529
2.08,0.6608271878403025,0.0517668449526053,20.0,10.0,21.747895253696647,5.0,22.315262668536107,True,1.606963094739255e-08,3.21392618947851e-07,-34.92964101396656
2.1,0.6764304182212721,0.0545471182867277,20.0,10.0,21.73274889203441,5.0,22.3005016626134,True,1.610223627289173e-08,3.2204472545783463e-07,-34.9208380945114
2.12,0.6922253957811542,0.0574231626456134,20.0,10.0,21.717389215419384,5.0,22.28553329705202,True,1.6135389302941297e-08,3.2270778605882593e-07,-34.91190556128196
2.14,0.7082133747810102,0.0603971970948208,20.0,10.0,21.701814096349153,5.0,22.2703555219152,True,1.6169098663319176e-08,3.2338197326638354e-07,-34.90284193239579
2.16,0.724395590142827,0.0634714738847072,20.0,10.0,21.686021408170017,5.0,22.254966288799636,True,1.6203373107091328e-08,3.240674621418266e-07,-34.89364571934908
2.18,0.7407732424671174,0.0666482734392908,20.0,10.0,21.670009040645027,5.0,22.239363566020437,True,1.6238221483900904e-08,3.247644296780181e-07,-34.88431543594988
2.2,0.7573474854110358,0.0699298996494173,20.0,10.0,21.653774913282295,5.0,22.223545351610614,True,1.6273652713650827e-08,3.2547305427301654e-07,-34.874849605979186
2.22,0.774119415429098,0.073318675516561,20.0,10.0,21.637316986401725,5.0,22.20750968411426,True,1.6309675764693927e-08,3.2619351529387853e-07,-34.86524676956316
2.24,0.7910899845214107,0.0768169304571583,20.0,10.0,21.62063334443317,5.0,22.191254723751324,True,1.6346299472836875e-08,3.269259894567375e-07,-34.85550553176145
2.26,0.8082600935476657,0.0804270058014194,20.0,10.0,21.60372211041766,5.0,22.174778669113,True,1.6383532729277215e-08,3.276706545855443e-07,-34.845624512701605
2.28,0.8256305866782804,0.0841512518225904,20.0,10.0,21.586581452264717,5.0,22.15807976326602,True,1.6421384468907092e-08,3.2842768937814184e-07,-34.83560235117766
2.3,0.8432022475684435,0.0879920250570893,20.0,10.0,21.56920958734693,5.0,22.141156298235614,True,1.645986366206971e-08,3.291972732413942e-07,-34.82543770729271
2.32,0.8609757970067664,0.0919516858906933,20.0,10.0,21.551604785664686,5.0,22.124006618094405,True,1.6498979309314986e-08,3.2997958618629974e-07,-34.81512926427777
2.34,0.8789515806452105,0.0960325218132044,20.0,10.0,21.533765682394986,5.0,22.10662942341713,True,1.6538739745367745e-08,3.307747949073549e-07,-34.804675911681635
2.36,0.8971299128504524,0.1002368169057601,20.0,10.0,21.51569094051737,5.0,22.089023442602915,True,1.6579153385191106e-08,3.3158306770382214e-07,-34.79407654812201
2.38,0.915511075310086,0.1045668510005198,20.0,10.0,21.497379252432836,5.0,22.07118743346016,True,1.6620228722538823e-08,3.324045744507765e-07,-34.78333008218071
2.4,0.9340953159936988,0.1090248987290649,20.0,10.0,21.47882934132061,5.0,22.053120184535683,True,1.6661974329052364e-08,3.3323948658104726e-07,-34.77243543315039
2.42,0.9528828483070858,0.1136132284485447,20.0,10.0,21.460039962381757,5.0,22.03482051633328,True,1.6704398853575823e-08,3.340879770715165e-07,-34.76139153171953
2.44,0.971873548172018,0.1183340242891176,20.0,10.0,21.44101020759698,5.0,22.01628757811539,True,1.6747510332669528e-08,3.3495020665339055e-07,-34.75019749927219
2.46,0.9910672878291482,0.1231894578820968,20.0,10.0,21.421739176377123,5.0,21.99752052711238,True,1.6791316930840263e-08,3.358263386168052e-07,-34.73885245460142
2.48,1.0104639329623348,0.1281816880369601,20.0,10.0,21.40222597828864,5.0,21.978518531187063,True,1.6835826937023845e-08,3.367165387404769e-07,-34.72735551543823
2.5,1.030063339562011,0.1333128600146,20.0,10.0,21.38246973619704,5.0,21.959280771905586,True,1.6881048760034954e-08,3.376209752006991e-07,-34.71570580023436
2.52,1.0498653505517634,0.1385851044371582,20.0,10.0,21.36246958978871,5.0,21.939806447975958,True,1.692699092304509e-08,3.385398184609018e-07,-34.703902430177585
