;current_time;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;target_north_from_observer;target_east_from_observer
2025-11-24_17:12:45:079601;1764000765.0775626;-110.32879354751412;-34.977186096137956;59.90871683333334;10.719327333333334;0.0;59.90871683333334;10.719327333333334;0.0;1764000765.0775626;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.24138999154637697;-0.699420627938369;4.2510923767280495e-08;1764000764.9561436;0.12141895294189453;0.0;0.0;0.0;-0.0;299.36775881714823;904.6499546040775;-20.241389991546377;-22.150579372061603;30.006033315116394;-2.3111883208908033;0.0;-20.0;-22.99999999999997
2025-11-24_17:12:45:186453;1764000765.1833622;-111.1987151524264;-35.04300528549788;59.908716166666665;10.719329333333333;0.0;59.908716166666665;10.719329333333333;0.0;1764000765.1833622;0;1.2694981386224515;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.24138999154637697;-0.699420627938369;4.2510923767280495e-08;1764000765.0775626;0.10579967498779297;0.0;0.0;0.0;-0.0;304.1629786018592;907.0044017939869;-20.241389991546377;-22.300579372061602;30.116933926272996;-2.307828523678801;0.0;-20.0;-23.14999999999997
2025-11-24_17:12:45:289483;1764000765.2894835;-112.77532029401003;-34.85214930793298;59.908716;10.7193295;0.0;59.908716;10.7193295;0.0;1764000765.2894835;0;0.19580143712675474;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.16711614816212472;-0.5875133391519061;2.8617477554337967e-08;1764000765.1833622;0.10612130165100098;0.0;0.0;0.0;-0.0;317.7911168866459;909.4814255569675;-20.167116148162126;-22.562486660848066;30.261830381759932;-2.300194297028688;0.0;-20.0;-23.29999999999997
2025-11-24_17:12:45:401762;1764000765.3988032;-113.71801542060327;-34.85859819885426;59.908716;10.7193295;0.0;59.908716;10.7193295;0.0;1764000765.3988032;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.14854769123975464;-0.5781877334672139;2.714870646347567e-08;1764000765.2894835;0.10931968688964844;0.0;0.0;0.0;-0.0;323.73326903381417;911.6484330157779;-20.148547691239756;-22.721812266532755;30.368482457009954;-2.2962420937290013;0.0;-20.0;-23.449999999999967
2025-11-24_17:12:45:503149;1764000765.5019095;-114.59411006961804;-34.81728164893072;59.908716166666665;10.719329166666666;0.0;59.908716166666665;10.719329166666666;0.0;1764000765.5019095;0;0.25525460750182954;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.14854769123975464;-0.5781877334672139;2.714870646347567e-08;1764000765.3988032;0.10310626029968262;0.0;0.0;0.0;-0.0;329.9072789636634;913.3879754798116;-20.148547691239756;-22.871812266532753;30.48087548646989;-2.2929770782007153;0.0;-20.0;-23.599999999999966
2025-11-24_17:12:45:605815;1764000765.6058156;-115.34822983838527;-34.79728792806097;59.908716166666665;10.719329166666666;0.0;59.908716166666665;10.719329166666666;0.0;1764000765.604612;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.16711614965771615;-0.5968389477340743;2.9484137700763746e-08;1764000765.5019095;0.10390615463256836;0.0;0.0;0.0;-0.0;334.8885318091688;914.971326711224;-20.167116149657716;-23.00316105226589;30.59179615828838;-2.290594366007671;0.0;-20.0;-23.749999999999964
2025-11-24_17:12:45:717345;1764000765.7154484;-116.22669654778532;-34.7363178668662;59.9087165;10.719327166666666;0.0;59.9087165;10.719327166666666;0.0;1764000765.7142212;0;1.0757171341608676;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.16711614965771615;-0.5968389477340743;2.9484137700763746e-08;1764000765.6058156;0.10963273048400879;0.0;0.0;0.0;-0.0;341.1750567845291;916.5982063223462;-20.167116149657716;-23.15316105226589;30.704746221161756;-2.2873738510517887;0.0;-20.0;-23.899999999999963
2025-11-24_17:12:45:822756;1764000765.822756;-116.42130254623164;-34.794113301527766;59.9087165;10.719327166666666;0.0;59.9087165;10.719327166666666;0.0;1764000765.822756;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.20425308201349063;-0.7087462434037848;4.099560953207959e-08;1764000765.7154484;0.10730767250061035;0.0;0.0;0.0;-0.0;341.46614438602165;917.3631682683714;-20.20425308201349;-23.19125375659618;30.757862302261646;-2.2874708609888885;0.0;-20.0;-24.04999999999996
2025-11-24_17:12:45:925561;1764000765.9251876;-117.30109960819702;-34.68613950279923;59.90871683333334;10.719325833333333;0.0;59.90871683333334;10.719325833333333;0.0;1764000765.9242637;0;0.82099106730312;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.20425308201349063;-0.7087462434037848;4.099560953207959e-08;1764000765.822756;0.1024315357208252;0.0;0.0;0.0;-0.0;348.34518549518776;918.722332723726;-20.20425308201349;-23.341253756596178;30.871118695827445;-2.2842791299985463;0.0;-20.0;-24.19999999999996
2025-11-24_17:12:46:072400;1764000766.0711296;-117.71468422857433;-34.724657344582816;59.9087165;10.719326166666667;0.0;59.9087165;10.719326166666667;0.0;1764000766.0711296;0;0.28296168707112446;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.24139000840093838;-0.7833511033689184;5.2277746603879294e-08;1764000765.9251876;0.14594197273254395;0.0;0.0;0.0;-0.0;350.20709631626227;919.8662450874923;-20.241390008400938;-23.41664889663104;30.95243633416092;-2.2835921021014567;0.0;-20.0;-24.34999999999996
