;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_14:30:19:203931;1765459819.2039309;19.868476118978727;-16.75891808952277;188.30250411437288;-11.697495885627113;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.095778;0.10815286636352539;0.0;0.0;0.0;-0.0;808.0892982252121;946.9596618814904;19.868476118978727;-16.75891808952277;25.99264662980208;-0.7007041928272972;0.0
2025-12-11_14:30:19:328389;1765459819.3273215;19.85525819000842;-16.60023609529038;188.28920030029622;-11.710799699703786;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.2039309;0.12339067459106445;0.0;0.0;0.0;-0.0;807.9696602413082;947.003934562953;19.85525819000842;-16.60023609529038;25.880477511268566;-0.696346750697244;0.0
2025-12-11_14:30:19:435194;1765459819.4351943;19.838895568626043;-16.413581191200834;188.3385801520634;-11.661419847936598;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.3273215;0.10787272453308105;0.0;0.0;0.0;-0.0;808.4136322083906;946.839596950176;19.838895568626043;-16.413581191200834;25.748542189859833;-0.6911928601220807;0.0
2025-12-11_14:30:19:550730;1765459819.5507305;19.82427577350927;-16.25472843234529;188.33226521779383;-11.667734782206173;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.4351943;0.11553621292114258;0.0;0.0;0.0;-0.0;808.3568685238396;946.8606148294793;19.82427577350927;-16.25472843234529;25.636265452546727;-0.6867821266840016;0.0
2025-12-11_14:30:19:652542;1765459819.6525428;19.807527510838035;-16.08072028634432;188.37529356196896;-11.62470643803103;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.5507305;0.10181236267089844;0.0;0.0;0.0;-0.0;808.743562815243;946.7173951427918;19.807527510838035;-16.08072028634432;25.513284990770032;-0.6819242642008868;0.0
2025-12-11_14:30:19:776003;1765459819.7748744;19.792427215295596;-15.930265817599121;188.3569489560716;-11.643051043928407;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.6525428;0.12233161926269531;0.0;0.0;0.0;-0.0;808.5787230698157;946.7784577459656;19.792427215295596;-15.930265817599121;25.406958576188156;-0.6777014127682112;0.0
2025-12-11_14:30:19:883148;1765459819.883149;19.772985073722197;-15.74445557825191;188.41163884112848;-11.58836115887152;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.7748744;0.10827445983886719;0.0;0.0;0.0;-0.0;809.0700526339958;946.5964031315762;19.772985073722197;-15.74445557825191;25.27565667161169;-0.6724568623615947;0.0
2025-12-11_14:30:20:046145;1765459820.0461457;19.75472612870275;-15.577133233768075;188.37183786983138;-11.628162130168608;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459819.883149;0.16299676895141602;0.0;0.0;0.0;-0.0;808.7125134540769;946.7288982016197;19.75472612870275;-15.577133233768075;25.157429999954545;-0.6677059010656945;0.0
2025-12-11_14:30:20:149259;1765459820.1492596;19.728025159842545;-15.343389977793077;188.49209659969276;-11.507903400307239;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.0461457;0.10311388969421387;0.0;0.0;0.0;-0.0;809.7923368364338;946.3285073777093;19.728025159842545;-15.343389977793077;24.99229066568372;-0.6610232839574799;0.0
2025-12-11_14:30:20:252140;1765459820.2521403;19.709722156061062;-15.189806003035542;188.47142023779318;-11.528579762206812;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.1492596;0.10288071632385254;0.0;0.0;0.0;-0.0;809.6067828256364;946.3973595575756;19.709722156061062;-15.189806003035542;24.88379701490468;-0.6566028406439907;0.0
2025-12-11_14:30:20:364339;1765459820.3630488;19.690868817688404;-15.03664100663167;188.48261301017453;-11.517386989825479;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.2521403;0.11090850830078125;0.0;0.0;0.0;-0.0;809.7072343928023;946.3600883044124;19.690868817688404;-15.03664100663167;24.775610740357756;-0.6521706914585974;0.0
2025-12-11_14:30:20:472986;1765459820.4729867;19.66963430957081;-14.869686779062867;188.51456992146638;-11.48543007853362;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.3630488;0.10993790626525879;0.0;0.0;0.0;-0.0;809.9939689335358;946.2536656486991;19.66963430957081;-14.869686779062867;24.657698570217015;-0.6473120510309214;0.0
2025-12-11_14:30:20:580005;1765459820.580006;19.648402900623914;-14.708105497102427;188.5383817743803;-11.461618225619711;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.4729867;0.10701918601989746;0.0;0.0;0.0;-0.0;810.2075556674448;946.1743598200629;19.648402900623914;-14.708105497102427;24.54359598467879;-0.6425820362220863;0.0
2025-12-11_14:30:20:682608;1765459820.6826084;19.626846136766176;-14.54903079690779;188.56650624367126;-11.43349375632875;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.580006;0.10260248184204102;0.0;0.0;0.0;-0.0;810.4597530553897;946.0806821777225;19.626846136766176;-14.54903079690779;24.43127885325827;-0.6378983009534683;0.0
2025-12-11_14:30:20:806244;1765459820.8062446;19.60535443625656;-14.39501115268791;188.5647730485178;-11.4352269514822;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.6826084;0.12363624572753906;0.0;0.0;0.0;-0.0;810.4442134387394;946.0864554130089;19.60535443625656;-14.39501115268791;24.322546508481675;-0.6333373705655473;0.0
2025-12-11_14:30:20:921520;1765459820.921521;19.57849639694301;-14.208400656367104;188.61980882277112;-11.380191177228875;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459820.8062446;0.11527633666992188;0.0;0.0;0.0;-0.0;810.9375120885342;945.9031152430852;19.57849639694301;-14.208400656367104;24.19082822842086;-0.6277764305958069;0.0
