;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_12:20:16:622590;1742901616.6225908;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.5125453;0.1100454330444336;0.0;0.0;0.0;-0.0;348.74999465547126;918.2027232533026;-20.0;-23.29999999999997;30.70651396690934;-2.280129062951982;0.0;-117.21941209467894;-34.62678558622852;-20.0;-23.449999999999967
2025-03-25_12:20:16:730739;1742901616.730739;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.6225908;0.10814833641052246;0.0;0.0;0.0;-0.0;354.6363224591553;919.9025718257559;-20.0;-23.449999999999967;30.820488315404713;-2.2769591163114167;0.0;-118.10213507105243;-34.57802951417668;-20.0;-23.599999999999966
2025-03-25_12:20:16:839799;1742901616.8398;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.730739;0.10906076431274414;0.0;0.0;0.0;-0.0;360.40877194634146;921.6121444938973;-20.0;-23.599999999999966;30.934770081576467;-2.273812559600655;0.0;-118.98618268156429;-34.53102541089304;-20.0;-23.749999999999964
2025-03-25_12:20:16:948335;1742901616.947334;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.8398;0.10753417015075684;0.0;0.0;0.0;-0.0;366.1027847716503;923.3194265869678;-20.0;-23.749999999999964;31.049355870935525;-2.270689196514141;0.0;-119.8715449654031;-34.483657073907025;-20.0;-23.899999999999963
2025-03-25_12:20:17:058864;1742901617.058864;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.947334;0.11153006553649902;0.0;0.0;0.0;-0.0;371.6948951254394;925.0352644107287;-20.0;-23.899999999999963;31.16424232995242;-2.267588831819417;0.0;-120.75821200027698;-34.43785232716907;-20.0;-24.04999999999996
2025-03-25_12:20:17:167969;1742901617.1679695;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.058864;0.10910534858703613;0.0;0.0;0.0;-0.0;377.22907799733656;926.743512500579;-20.0;-24.04999999999996;31.279426145631223;-2.2645112713799236;0.0;-121.64617390390553;-34.390750976631146;-20.0;-24.19999999999996
2025-03-25_12:20:17:276620;1742901617.2766204;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.1679695;0.10865092277526855;0.0;0.0;0.0;-0.0;382.67921243751255;928.4559716306213;-20.0;-24.19999999999996;31.394904045083464;-2.261456322176474;0.0;-122.53542083544112;-34.344452848437726;-20.0;-24.34999999999996
2025-03-25_12:20:17:386159;1742901617.3851497;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.2766204;0.10852932929992676;0.0;0.0;0.0;-0.0;388.046439604383;930.173576520348;-20.0;-24.34999999999996;31.510672795102266;-2.2584237923274366;0.0;-123.42594299682408;-34.29913288250125;-20.0;-24.499999999999957
2025-03-25_12:20:17:494678;1742901617.4946785;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.3851497;0.10952877998352051;0.0;0.0;0.0;-0.0;393.35460306172035;931.8876240173679;-20.0;-24.499999999999957;31.626729201736907;-2.255413491107678;0.0;-124.31773063407147;-34.25324299464263;-20.0;-24.649999999999956
2025-03-25_12:20:17:604860;1742901617.6038613;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.4946785;0.10918283462524414;0.0;0.0;0.0;-0.0;398.58382815693756;933.6075836870358;-20.0;-24.649999999999956;31.74307010986804;-2.252425228966299;0.0;-125.21077403850241;-34.208480759864685;-20.0;-24.799999999999955
