"filename", "language", "Python", "YAML", "Dotenv", "Properties", "CSV", "Batch", "C++", "PowerShell", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_11-56-14.csv", "CSV", 0, 0, 0, 0, 358, 0, 0, 0, 0, 1, 359
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_11-59-57.csv", "CSV", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_12-07-03.csv", "CSV", 0, 0, 0, 0, 119, 0, 0, 0, 0, 1, 120
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_14-56-47.csv", "CSV", 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-17-09.csv", "CSV", 0, 0, 0, 0, 308, 0, 0, 0, 0, 1, 309
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-19-24.csv", "CSV", 0, 0, 0, 0, 326, 0, 0, 0, 0, 1, 327
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-23-02.csv", "CSV", 0, 0, 0, 0, 372, 0, 0, 0, 0, 1, 373
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-24-54.csv", "CSV", 0, 0, 0, 0, 652, 0, 0, 0, 0, 1, 653
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-27-52.csv", "CSV", 0, 0, 0, 0, 839, 0, 0, 0, 0, 1, 840
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-29-59.csv", "CSV", 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-31-22.csv", "CSV", 0, 0, 0, 0, 368, 0, 0, 0, 0, 1, 369
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-33-17.csv", "CSV", 0, 0, 0, 0, 365, 0, 0, 0, 0, 1, 366
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-36-45.csv", "CSV", 0, 0, 0, 0, 920, 0, 0, 0, 0, 1, 921
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-39-14.csv", "CSV", 0, 0, 0, 0, 745, 0, 0, 0, 0, 1, 746
