"filename", "language", "Python", "CSV", "Dotenv", "YAML", "Properties", "PowerShell", "Batch", "C++", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-23-02.csv", "CSV", 0, 372, 0, 0, 0, 0, 0, 0, 0, 1, 373
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-24-54.csv", "CSV", 0, 652, 0, 0, 0, 0, 0, 0, 0, 1, 653
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-27-52.csv", "CSV", 0, 839, 0, 0, 0, 0, 0, 0, 0, 1, 840
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-29-59.csv", "CSV", 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-31-22.csv", "CSV", 0, 368, 0, 0, 0, 0, 0, 0, 0, 1, 369
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-33-17.csv", "CSV", 0, 365, 0, 0, 0, 0, 0, 0, 0, 1, 366
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-36-45.csv", "CSV", 0, 920, 0, 0, 0, 0, 0, 0, 0, 1, 921
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-39-14.csv", "CSV", 0, 745, 0, 0, 0, 0, 0, 0, 0, 1, 746
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-41-40.csv", "CSV", 0, 781, 0, 0, 0, 0, 0, 0, 0, 1, 782
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-43-42.csv", "CSV", 0, 388, 0, 0, 0, 0, 0, 0, 0, 1, 389
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-46-08.csv", "CSV", 0, 760, 0, 0, 0, 0, 0, 0, 0, 1, 761
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-47-40.csv", "CSV", 0, 355, 0, 0, 0, 0, 0, 0, 0, 1, 356
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-53-00.csv", "CSV", 0, 396, 0, 0, 0, 0, 0, 0, 0, 1, 397
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-54-44.csv", "CSV", 0, 460, 0, 0, 0, 0, 0, 0, 0, 1, 461
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-55-39.csv", "CSV", 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-57-15.csv", "CSV", 0, 282, 0, 0, 0, 0, 0, 0, 0, 1, 283
