;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle
2026-05-05_14:57:56:670783;1777985876.5884352;0.010247690768747986;-62.63387120307693;5.1238453843739926e-05;-0.5446423582876254;5.1238453843739926e-05;-0.5446423582876254;9.598102022985728;1.5322147939680804;0.0;5.79999999999999;59.90846875;10.720009483333333;0.0;59.90846875;10.720009483333333;0.0;1777985876.5884352;77.447;0.0;0.58;-1.393;0.099;-166.157;-9.012;5.481;-27.845;59.90847045;10.719993516666667;0.0;-0.189398135593992;0.893399946394955;6.392568109581109e-08;1777985876.4681058;0.12032938003540039;0.0;0.0;-2.8999867252362184;-166.157;-0.0;0.0;0.189398135593992;4.906600053605035;-2.8999867252362184
2026-05-05_14:57:56:731603;1777985876.679301;0.012890818399926497;-62.635391223243516;6.445409199963248e-05;-0.5446555758542915;6.445409199963248e-05;-0.5446555758542915;9.552036037546179;1.5288274646323163;0.0;5.64999999999999;59.9084687;10.720011516666666;0.0;59.9084687;10.720011516666666;0.0;1777985876.6774783;69.342;0.0;0.58;-2.684;0.842;-170.737;-6.442;5.786;-28.496;59.90847045;10.719993516666667;0.0;-0.19496864231693473;1.0071732185996767;8.20877502638595e-08;1777985876.6734476;0.005853414535522461;0.0;0.0;-2.979922804977558;-170.737;-0.0;0.0;0.19496864231693473;4.642826781400313;-2.979922804977558
2026-05-05_14:57:57:068131;1777985876.998098;0.0041348633043870615;-62.6332079446465;2.067431652193531e-05;-0.5446365908230131;2.067431652193531e-05;-0.5446365908230131;9.502826005212508;1.5274279969337599;0.0;5.499999999999989;59.908468733333336;10.72001365;0.0;59.908468733333336;10.72001365;0.0;1777985876.998098;65.784;0.5461815681266913;0.58;-2.684;0.842;-170.737;-6.442;5.786;-28.496;59.90847045;10.719993516666667;0.0;-0.19125491570229758;1.1265418952480792;1.0140367515121262e-07;1777985876.7794409;0.2186570167541504;0.016984255386657543;0.5459174300480654;-2.979922804977558;-170.737;-0.10463719858359785;-0.5360646994849598;0.19496864231693473;4.492826781400312;-2.979922804977558
2026-05-05_14:57:57:324641;1777985877.174887;0.0011831856487952291;-62.631974712988246;5.915928243976146e-06;-0.544625867069463;5.915928243976146e-06;-0.544625867069463;9.45039501539582;1.5311019739311877;0.0;5.349999999999989;59.908469333333336;10.7200174;0.0;59.908469333333336;10.7200174;0.0;1777985877.174887;47.461;1.2023069121721097;0.58;-0.88;0.743;173.935;12.491;-5.611;-29.786;59.90847045;10.719993516666667;0.0;-0.12440840853714241;1.336369624766892;1.4136605693687576e-07;1777985877.0850577;0.0898292064666748;0.4340881080286845;1.1212089125247149;3.035738434456337;173.935;-0.3131952022371816;-1.1607974312309568;0.16340219881797935;4.114347682128556;3.077381990408922
2026-05-05_14:57:57:572833;1777985877.4945645;6.60617142161252;-66.20682060278598;0.0330308571080626;-0.5757114835024868;0.0330308571080626;-0.5757114835024868;9.394688350213166;1.5386075752009312;0.0;5.199999999999989;59.908469333333336;10.7200174;0.0;59.908469333333336;10.7200174;0.0;1777985877.4848125;42.501;0.0;0.58;0.748;-0.186;170.405;14.101;-8.47;-28.991;59.90847045;10.719993516666667;0.0;-0.12440840853714241;1.336369624766892;1.4136605693687576e-07;1777985877.3319004;0.16266417503356934;0.0;0.0;2.9741283118609374;170.405;0.0;-0.0;0.12440840853714241;3.8636303752330967;2.9741283118609374
2026-05-05_14:57:57:687129;1777985877.5884964;2.0790016107274933e-06;-62.62630718723944;1.0395008053637467e-08;-0.5445765842368647;1.0395008053637467e-08;-0.5445765842368647;9.335621616781197;1.5487401218075112;0.0;5.049999999999988;59.9084702;10.72002035;0.0;59.9084702;10.72002035;0.0;1777985877.5871322;30.525;6.1473236041004995;0.58;3.767;-2.014;162.936;4.894;-4.786;-24.008;59.90847045;10.719993516666667;0.0;-0.027852379087251834;1.5014340824327912;1.7605069218759595e-07;1777985877.5728333;0.01566314697265625;0.5693756153431382;1.2034088779408856;2.843769670029481;162.936;-0.1911823512924158;-1.3175093272567833;0.07984408150417308;3.6194410468780065;2.843769670029481
2026-05-05_14:57:57:792635;1777985877.694869;14.619172526856113;-70.53334630013268;0.07309586263428057;-0.6133334460881102;0.07309586263428057;-0.6133334460881102;9.273114521117456;1.5626011773602002;0.0;4.899999999999988;59.9084702;10.72002035;0.0;59.9084702;10.72002035;0.0;1777985877.694869;26.596;0.0;0.58;3.79;-1.985;160.186;-3.07;0.33;-22.112;59.90847045;10.719993516666667;0.0;-0.027852379087251834;1.5014340824327912;1.7605069218759595e-07;1777985877.687129;0.007740020751953125;0.0;0.0;2.795773115599637;160.186;0.0;-0.0;0.027852379087251834;3.398565917567197;2.795773115599637
2026-05-05_14:57:57:864861;1777985877.8054974;11.14618452299042;-68.65801769722148;0.055730922614952105;-0.5970262408454042;0.055730922614952105;-0.5970262408454042;9.20709317353427;1.5622227908543849;0.0;4.749999999999988;59.908470683333334;10.720021316666667;0.0;59.908470683333334;10.720021316666667;0.0;1777985877.8054974;25.24;8.642654617607548;0.58;3.79;-1.985;160.186;-3.07;0.33;-22.112;59.90847045;10.719993516666667;0.0;0.025996163599032035;1.5555229893751465;1.8861460639521543e-07;1777985877.7986743;0.006823062896728516;0.0;0.0;2.795773115599637;160.186;0.0;-0.0;0.027852379087251834;3.2485659175671966;2.795773115599637
2026-05-05_14:57:58:027271;1777985877.9303575;11.617930804204175;-68.9119415007582;0.05808965402102087;-0.5992342739196366;0.05808965402102087;-0.5992342739196366;9.13749566049898;1.5793349137948152;0.0;4.599999999999987;59.908470683333334;10.720021316666667;0.0;59.908470683333334;10.720021316666667;0.0;1777985877.9303575;23.559;0.0;0.58;0.093;-0.437;154.457;-18.986;5.969;-19.818;59.90847045;10.719993516666667;0.0;0.025996163599032035;1.5555229893751465;1.8861460639521543e-07;1777985877.912587;0.01777052879333496;0.0;0.0;2.6957832027528816;154.457;0.0;-0.0;-0.025996163599032035;3.0444770106248407;2.795773115599637
2026-05-05_14:57:58:088182;1777985878.042395;6.4704621173645265;-66.11295295074446;0.032352310586822634;-0.5748952430499518;0.032352310586822634;-0.5748952430499518;9.06428699628265;1.6008589470945847;0.0;4.449999999999987;59.90847121666667;10.720022283333334;0.0;59.90847121666667;10.720022283333334;0.0;1777985878.042395;20.588;0.0;0.58;0.093;-0.437;154.457;-18.986;5.969;-19.818;59.90847045;10.719993516666667;0.0;0.08541524238982753;1.609611892470184;2.0327172687434336e-07;1777985878.030709;0.011686086654663086;0.0;0.0;2.6957832027528816;154.457;0.0;-0.0;-0.08541524238982753;2.8403881075298028;2.6957832027528816
2026-05-05_14:57:58:337784;1777985878.20593;2.8267281741723034;-64.16542445121955;0.014133640870861518;-0.5579602126193004;0.014133640870861518;-0.5579602126193004;8.987444296096866;1.6025339639302434;0.0;4.2999999999999865;59.90847121666667;10.720022283333334;0.0;59.90847121666667;10.720022283333334;0.0;1777985878.2021115;17.937;0.0;0.58;0.093;-0.437;154.457;-18.986;5.969;-19.818;59.90847045;10.719993516666667;0.0;0.08541524238982753;1.609611892470184;2.0327172687434336e-07;1777985878.1327462;0.07318377494812012;0.0;0.0;2.6957832027528816;154.457;0.0;-0.0;-0.08541524238982753;2.6903881075298024;2.6957832027528816
2026-05-05_14:57:58:643198;1777985878.5115712;0.03335434986191643;-45.26273321869657;0.00016677174930958218;-0.3935889845104049;0.00016677174930958218;-0.3935889845104049;8.906956123432291;1.6310583248965038;0.0;4.149999999999986;59.9084724;10.720023833333334;0.0;59.9084724;10.720023833333334;0.0;1777985878.5115712;7.097;0.47261794057396606;0.58;-4.409;0.215;146.526;1.018;1.648;-21.481;59.90847045;10.719993516666667;0.0;0.21725131243955192;1.6963406305403248;2.2876874436472683e-07;1777985878.3476412;0.16392993927001953;0.4077745419198014;0.23893020050731748;2.5573611397772114;146.526;-0.2083555172172291;-0.42421185296678326;-0.15040485654677885;2.4928271827185995;2.5573611397772114
