;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;north_error;east_error;current_angle
2026-05-05_13:01:18:111412;1777978878.1114125;0.0;43.257881725109215;0.0;0.37615549326181924;0.0;0.37615549326181924;11.672428694669229;-3.0416343665528487;-11.179661770676855;-0.1231368883254449;59.90850505;10.719689233333334;0.0;59.90850505;10.719689233333334;0.0;1777978878.1114125;69.67;0.0;0.67;0.131;2.939;131.539;-1.877;-6.741;-4.104;59.90850115;10.719670616666667;0.0;0.43450199737630757;1.0416770886591975;1.0005675327162677e-07;1777978878.0089054;0.10250711441040039;0.0;0.0;0.0;-0.0;-11.614163768053162;-1.1648139769846424;2.2957886447808207
2026-05-05_13:01:18:222876;1777978878.222877;0.0;43.31857249125138;0.0;0.37668323905435985;0.0;0.37668323905435985;11.693121092891838;-3.03836470212751;-11.179661770676855;-0.1231368883254449;59.9085052;10.71968995;0.0;59.9085052;10.71968995;0.0;1777978878.222877;89.376;0.3897498247763292;0.67;0.047;1.767;131.199;0.081;-10.534;-1.892;59.90850115;10.719670616666667;0.0;0.4512136184813851;1.0817774550638184;1.0802366295914467e-07;1777978878.1114125;0.1114645004272461;0.0;0.0;0.0;-0.0;-11.63087538915824;-1.2049143433892633;2.2898545253240403
2026-05-05_13:01:18:326146;1777978878.3261468;0.0;43.399822807042106;0.0;0.3773897635394966;0.0;0.3773897635394966;11.695840629817537;-3.036144007587371;-11.179661770676855;-0.1231368883254449;59.9085052;10.719690416666667;0.0;59.9085052;10.719690416666667;0.0;1777978878.3256407;98.305;0.25409635462378016;0.67;0.019;0.626;131.153;-0.453;-8.625;0.5;59.90850115;10.719670616666667;0.0;0.45121362634769224;1.107889324628505;1.1258204254960269e-07;1777978878.222877;0.10326981544494629;0.0;0.0;-0.0;-0.0;-11.630875397024548;-1.23102621295395;2.289051673868123
2026-05-05_13:01:18:428730;1777978878.4287302;0.0;43.10956360834648;0.0;0.37486577050736064;0.0;0.37486577050736064;11.695840629817537;-3.036144007587371;-11.179661770676855;-0.1231368883254449;59.9085052;10.719690416666667;0.0;59.9085052;10.719690416666667;0.0;1777978878.4287302;92.183;0.0;0.67;-0.34;0.036;131.376;-4.266;-3.19;2.571;59.90850115;10.719670616666667;0.0;0.45121362634769224;1.107889324628505;1.1258204254960269e-07;1777978878.3261468;0.10258340835571289;0.0;0.0;-0.0;-0.0;-11.630875397024548;-1.23102621295395;2.292943758100071
2026-05-05_13:01:18:532203;1777978878.5322037;0.0;43.38477648444013;0.0;0.37725892595165333;0.0;0.37725892595165333;11.695574256440942;-3.034858595553612;-11.179661770676855;-0.1231368883254449;59.90850518333333;10.719690683333333;0.0;59.90850518333333;10.719690683333333;0.0;1777978878.5322037;88.135;0.14531423622811496;0.67;-0.868;-0.021;131.661;-7.078;-0.208;3.982;59.90850115;10.719670616666667;0.0;0.44935678458901573;1.1228103935473268;1.1425327484104741e-07;1777978878.4287302;0.10347342491149902;0.0;0.0;0.0;-0.0;-11.629018555265871;-1.2459472818727717;2.297917946468255
2026-05-05_13:01:18:635904;1777978878.6347864;0.0;42.75082617551827;0.0;0.37174631456972407;0.0;0.37174631456972407;11.695574256440942;-3.034858595553612;-11.179661770676855;-0.1231368883254449;59.90850518333333;10.719690683333333;0.0;59.90850518333333;10.719690683333333;0.0;1777978878.6347864;86.647;0.0;0.67;-2.048;0.116;132.311;-10.617;1.164;6.242;59.90850115;10.719670616666667;0.0;0.44935678458901573;1.1228103935473268;1.1425327484104741e-07;1777978878.5322037;0.10258269309997559;0.0;0.0;0.0;-0.0;-11.629018555265871;-1.2459472818727717;2.3092625866062173
2026-05-05_13:01:18:740213;1777978878.740213;0.0;42.47438786805239;0.0;0.3693425032004556;0.0;0.3693425032004556;11.701772699694764;-3.032911379182456;-11.179661770676855;-0.1231368883254449;59.90850521666667;10.7196911;0.0;59.90850521666667;10.7196911;0.0;1777978878.7387013;90.518;0.22718661590515055;0.67;-3.312;0.156;133.21;-10.004;-0.697;8.151;59.90850115;10.719670616666667;0.0;0.45307048303639436;1.146124561786844;1.195624840522047e-07;1777978878.6347864;0.10542654991149902;0.0;0.0;-0.0;-0.0;-11.63273225371325;-1.269261450112289;2.3249530965816465
2026-05-05_13:01:18:843729;1777978878.8437295;0.0;43.2057688129021;0.0;0.3757023375034965;0.0;0.3757023375034965;11.701772699694764;-3.032911379182456;-11.179661770676855;-0.1231368883254449;59.90850521666667;10.7196911;0.0;59.90850521666667;10.7196911;0.0;1777978878.8437295;99.578;0.0;0.67;-3.675;0.115;133.557;-9.023;-1.505;8.697;59.90850115;10.719670616666667;0.0;0.45307048303639436;1.146124561786844;1.195624840522047e-07;1777978878.740213;0.1035165786743164;0.0;0.0;-0.0;-0.0;-11.63273225371325;-1.269261450112289;2.3310093890860664
2026-05-05_13:01:18:966451;1777978878.9664512;0.0;42.39101601919321;0.0;0.36861753060168007;0.0;0.36861753060168007;11.701771191634233;-3.030024876994716;-11.179661770676855;-0.1231368883254449;59.90850518333333;10.7196917;0.0;59.90850518333333;10.7196917;0.0;1777978878.9664512;118.517;0.27523401582322077;0.67;-4.272;-0.08;134.69;-2.696;-2.384;9.729;59.90850115;10.719670616666667;0.0;0.4493568021693842;1.1796969666837176;1.2444077332474102e-07;1777978878.8437295;0.12272167205810547;0.0;0.0;-0.0;-0.0;-11.62901857284624;-1.3028338550091625;2.3507839695111628
2026-05-05_13:01:19:108751;1777978879.076496;0.0;40.815417761252064;0.0;0.35491667618480055;0.0;0.35491667618480055;11.701771191634233;-3.030024876994716;-11.179661770676855;-0.1231368883254449;59.90850518333333;10.7196917;0.0;59.90850518333333;10.7196917;0.0;1777978879.076496;143.731;0.0;0.67;-3.52;-0.081;136.289;9.234;0.858;10.188;59.90850115;10.719670616666667;0.0;0.4493568021693842;1.1796969666837176;1.2444077332474102e-07;1777978878.9664512;0.11004471778869629;0.0;0.0;-0.0;-0.0;-11.62901857284624;-1.3028338550091625;2.3786917842505515
2026-05-05_13:01:19:187627;1777978879.1876278;0.0;41.98156187355179;0.0;0.36505705977001557;0.0;0.36505705977001557;11.687997782624642;-3.027724791255532;-11.179661770676855;-0.1231368883254449;59.908505033333334;10.71969215;0.0;59.908505033333334;10.71969215;0.0;1777978879.1876278;164.935;0.2719330929137513;0.67;-2.433;0.201;137.076;14.799;3.525;10.149;59.90850115;10.719670616666667;0.0;0.4326452010135334;1.2048762749637312;1.2803407167805148e-07;1777978879.076496;0.11113190650939941;0.0;0.0;-0.0;-0.0;-11.612306971690389;-1.328013163289176;2.392427525463747
2026-05-05_13:01:19:304878;1777978879.3048782;0.0;41.014231827195104;0.0;0.3566454941495226;0.0;0.3566454941495226;11.687997782624642;-3.027724791255532;-11.179661770676855;-0.1231368883254449;59.908505033333334;10.71969215;0.0;59.908505033333334;10.71969215;0.0;1777978879.3048782;179.585;0.0;0.67;-0.185;0.942;138.266;20.107;6.868;10.283;59.90850115;10.719670616666667;0.0;0.4326452010135334;1.2048762749637312;1.2803407167805148e-07;1777978879.1876278;0.11725044250488281;0.0;0.0;-0.0;-0.0;-11.612306971690389;-1.328013163289176;2.413196943562479
2026-05-05_13:01:19:426735;1777978879.4191587;0.0;39.55371885241256;0.0;0.3439453813253266;0.0;0.3439453813253266;11.664974021072343;-3.026774812595667;-11.179661770676855;-0.1231368883254449;59.908504816666664;10.7196923;0.0;59.908504816666664;10.7196923;0.0;1777978879.4191587;-160.81;0.22362971843605867;0.67;2.796;2.053;140.06;16.165;6.645;11.877;59.90850115;10.719670616666667;0.0;0.40850621171260093;1.2132693838150856;1.2715561936715858e-07;1777978879.3048782;0.11428046226501465;0.0;0.0;-0.0;0.0;-11.588167982389455;-1.3364062721405305;2.4445081503432586
2026-05-05_13:01:19:528211;1777978879.5250938;0.0;38.926649721378055;0.0;0.33849260627285266;0.0;0.33849260627285266;11.634393183032337;-3.027278539860469;-11.179661770676855;-0.1231368883254449;59.90850455;10.719692133333334;0.0;59.90850455;10.719692133333334;0.0;1777978879.5250938;-152.783;0.2939421288033263;0.67;3.95;2.48;141.602;5.659;3.151;13.091;59.90850115;10.719670616666667;0.0;0.37879668109056935;1.203943725712554;1.2629861276258758e-07;1777978879.4191587;0.10593509674072266;0.0;0.0;-0.0;0.0;-11.558458451767425;-1.327080614037999;2.4714211274090108
2026-05-05_13:01:19:658914;1777978879.6439064;0.0;40.38762342057962;0.0;0.35119672539634456;0.0;0.35119672539634456;11.634393183032337;-3.027278539860469;-11.179661770676855;-0.1231368883254449;59.90850455;10.719692133333334;0.0;59.90850455;10.719692133333334;0.0;1777978879.6439064;-149.076;0.0;0.67;4.0;2.509;142.139;1.162;1.77;13.422;59.90850115;10.719670616666667;0.0;0.37879668109056935;1.203943725712554;1.2629861276258758e-07;1777978879.5250938;0.11881256103515625;0.0;0.0;-0.0;0.0;-11.558458451767425;-1.327080614037999;2.4807935454922205
2026-05-05_13:01:19:755510;1777978879.7555103;0.0;36.973811718881315;0.0;0.3215114062511419;0.0;0.3215114062511419;11.61209013640115;-3.0285938329906807;-11.179661770676855;-0.1231368883254449;59.90850436666667;10.719691816666666;0.0;59.90850436666667;10.719691816666666;0.0;1777978879.7555103;-144.358;0.24228296739016403;0.67;2.494;2.114;144.369;-15.343;-3.229;14.595;59.90850115;10.719670616666667;0.0;0.35837137530965435;1.1862249631203463;1.1992645487790554e-07;1777978879.6439064;0.11160397529602051;0.0;0.0;-0.0;0.0;-11.538033145986509;-1.3093618514457912;2.5197143878116934
2026-05-05_13:01:19:882028;1777978879.8636422;0.0;39.051906817528554;0.0;0.3395817984132918;0.0;0.3395817984132918;11.61209013640115;-3.0285938329906807;-11.179661770676855;-0.1231368883254449;59.90850436666667;10.719691816666666;0.0;59.90850436666667;10.719691816666666;0.0;1777978879.8636422;-127.315;0.0;0.67;1.776;1.931;144.947;-20.334;-4.419;14.654;59.90850115;10.719670616666667;0.0;0.35837137530965435;1.1862249631203463;1.1992645487790554e-07;1777978879.7555103;0.10813188552856445;0.0;0.0;-0.0;0.0;-11.538033145986509;-1.3093618514457912;2.5298023908882215
2026-05-05_13:01:19:976306;1777978879.976306;0.0;33.607427194383355;0.0;0.29223849734246393;0.0;0.29223849734246393;11.597500325690799;-3.0297458295821835;-11.179661770676855;-0.1231368883254449;59.90850425;10.71969155;0.0;59.90850425;10.71969155;0.0;1777978879.976306;-107.383;0.17564201083987713;0.67;-3.065;0.995;148.324;-18.209;-3.25;13.504;59.90850115;10.719670616666667;0.0;0.34537345068837794;1.1713038985354336;1.1613089748174765e-07;1777978879.8636422;0.11266374588012695;0.0;0.0;-0.0;0.0;-11.525035221365233;-1.2944407868608785;2.5887421597280698
2026-05-05_13:01:20:096663;1777978880.0915537;0.0;37.18286594879939;0.0;0.3233292691199947;0.0;0.3233292691199947;11.597500325690799;-3.0297458295821835;-11.179661770676855;-0.1231368883254449;59.90850425;10.71969155;0.0;59.90850425;10.71969155;0.0;1777978880.0915537;-105.171;0.0;0.67;-3.655;0.921;148.859;-15.044;-2.675;13.353;59.90850115;10.719670616666667;0.0;0.34537345068837794;1.1713038985354336;1.1613089748174765e-07;1777978879.976306;0.11524772644042969;0.0;0.0;-0.0;0.0;-11.525035221365233;-1.2944407868608785;2.5980796712262393
